SampleID,bare_rock,bare_sand,bedrock,boulder,cobble,Relief_0_pt1,Relief_1_2,Relief_greater2,Relief_pt1_1,sand,sediment,shell_hash,Year,Longitude,Latitude,DeepestSurvey,MeanSST,NumbNearSites,Slope,Island_Mainland,LittoralDrift,ReefAreaRevised,SiteCode,SST,SST1,SST2,ENSO,ENSO1,ENSO2,settlement1,settlement2,ref_1980,ref_10yr,ref_5yr,calval_1980,calval_5yr,ref_notrain_1980,ref_notrain_5yr
77_2011,1.075,7.526666667,66.66666667,16.66666667,7.528333333,9.678333333,20.43166667,37.635,32.25666667,9.14,0,1.615,2011,-118.52617,33.46887,17.2,17.31,16,7.027749,Island,0,315808.6463,77,16.818,16.38,17.4,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
77_2012,0.538333333,5.915,67.74166667,18.27666667,10.75333333,1.075,23.655,6.99,68.28,3.226666667,0,2.151666667,2012,-118.52617,33.46887,17.2,17.31,16,7.027749,Island,0,315808.6463,77,17.772,16.818,16.38,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
78_2004,4.445,2.7775,39.1675,33.61166667,15.555,7.2225,17.22166667,2.2225,73.33333333,11.66666667,0,9.444166667,2004,-118.4851,33.44708,20.1,17.48,16,30.938581,Island,0,383217.4117,78,17.97,17.448,17.004,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,Yes,Yes,Val,Val,Yes,Yes
79_2008,0.538333333,2.688333333,59.14,37.09666667,0.538333333,4.84,30.10833333,8.601666667,56.45166667,3.226666667,0,0,2008,-118.57515,33.4475,17,17.07,14,9.222531,Island,0,566191.0056,79,16.932,16.932,17.604,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
79_2011,0,0,84.94666667,14.515,0.538333333,23.11833333,6.451666667,0,70.43,0,0,0,2011,-118.57515,33.4475,17,17.07,14,9.222531,Island,0,566191.0056,79,16.47,15.594,17.226,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
79_2012,0.538333333,4.84,74.73166667,9.676666667,0,1.075,52.15,3.225,43.54833333,15.59166667,0,1.613333333,2012,-118.57515,33.4475,17,17.07,14,9.222531,Island,0,566191.0056,79,17.286,16.47,15.594,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
8_2004,15.01166667,4.886666667,69.305,18.19416667,4.445833333,0.416666667,9.861666667,8.055,81.66666667,8.055,3.201666667,2.101666667,2004,-119.39041,34.00862,18.3,15.79,6,3.341615,Island,0,913074.3428,8,16.368,15.624,15.36,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,No,No,Test,Test,No,No
8_2008,5.316666667,3.61,70.2775,13.61166667,6.665833333,4.721666667,21.94416667,8.610833333,64.72166667,9.443333333,0,5.363333333,2008,-119.39041,34.00862,18.3,15.79,6,3.341615,Island,0,913074.3428,8,16.038,15.582,16.32,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
8_2011,12.73916667,9.325,62.77833333,24.1675,4.445,4.999166667,7.2225,2.499166667,85.27833333,8.61,0,1.666666667,2011,-119.39041,34.00862,18.3,15.79,6,3.341615,Island,0,913074.3428,8,15.486,15.078,15.876,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
8_2012,5.555833333,7.2225,57.5,30.83333333,3.889166667,0,21.11166667,11.66666667,67.2225,7.7775,0,0.555,2012,-119.39041,34.00862,18.3,15.79,6,3.341615,Island,0,913074.3428,8,15.906,15.486,15.078,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
80_2004,2.220833333,1.943333333,80.8225,7.499166667,6.945,3.333333333,20.55416667,13.3325,62.7775,4.731666667,0,8.888333333,2004,-118.48932,33.44782,19.2,17.48,17,15.722862,Island,0,383217.4117,80,17.964,17.418,17.07,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,Yes,Yes,Cal,Cal,No,No
81_2011,5.915,30.10666667,55.37666667,9.14,4.838333333,20.43,15.055,0,64.51666667,30.645,0,2.15,2011,-118.37576,33.41073,15,17.62,5,34.494192,Island,0,541581.6392,81,17.256,17.004,18.024,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,No,No,Cal,Test,No,No
82_2008,4.0325,8.8725,35.4825,42.7425,12.9025,33.87,3.225,4.0325,58.8725,8.8725,0,0,2008,-118.50253,33.45387,15,17.42,17,22.200238,Island,0,267508.8017,82,17.424,17.322,17.814,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
83_2004,1.666666667,1.388333333,20.27833333,67.2225,6.389166667,2.2225,9.861666667,12.91666667,74.99916667,6.110833333,0,1.944166667,2004,-118.52032,33.4276,15.2,17.44,17,11.88128,Island,0,453749.8363,83,17.988,17.502,17.412,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,Yes,Yes,Val,Cal,Yes,No
84_2011,1.615,25.805,26.88333333,34.41,9.678333333,15.59,19.355,18.81666667,46.23666667,29.03333333,0,0,2011,-118.31705,33.34358,20.6,17.65,3,32.027253,Island,0,284326.5411,84,17.034,16.848,17.76,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
84_2012,1.076666667,38.17333333,50,9.678333333,2.151666667,5.913333333,15.59166667,0,78.495,38.17333333,0,0.538333333,2012,-118.31705,33.34358,20.6,17.65,3,32.027253,Island,0,284326.5411,84,17.586,17.034,16.848,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
85_2004,17.5025,5,0,19.1675,76.665,69.1675,2.5,0,28.3325,4.1675,0,3.3325,2004,-118.43547,33.42815,12.2,17.62,17,17.307156,Island,0,338606.2964,85,17.976,17.874,17.358,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,Yes,No,Test,Test,Yes,No
85_2008,0,12.9025,40.325,45.16,1.615,14.515,25.805,2.42,57.2575,12.9025,0,0,2008,-118.43547,33.42815,12.2,17.62,17,17.307156,Island,0,338606.2964,85,17.802,17.388,18.108,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,Yes,Yes,No,Cal,Test,No,No
85_2011,0,8.8725,61.29,25.805,5.6475,0.8075,21.775,12.9025,64.515,7.26,0,0,2011,-118.43547,33.42815,12.2,17.62,17,17.307156,Island,0,338606.2964,85,17.052,16.722,17.622,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,Yes,No,Test,Test,Yes,No
85_2012,0.8075,12.095,55.645,29.0325,2.42,4.84,17.7425,4.8375,72.58,12.905,0,1.6125,2012,-118.43547,33.42815,12.2,17.62,17,17.307156,Island,0,338606.2964,85,17.7,17.052,16.722,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,Yes,No,Test,Test,No,No
86_2011,5.376666667,9.141666667,72.04333333,9.14,12.36666667,0,44.085,12.90333333,43.01166667,6.453333333,0,1.075,2011,-118.42152,33.31458,17.1,17.44,3,7.744426,Island,0,1328340.003,86,16.71,16.782,17.496,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,Yes,Yes,Cal,Cal,No,No
86_2012,1.615,6.99,79.03166667,10.215,6.988333333,0,14.515,2.151666667,83.33333333,3.765,0,0,2012,-118.42152,33.31458,17.1,17.44,3,7.744426,Island,0,1328340.003,86,17.58,16.71,16.782,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,Yes,Yes,Yes,Test,Test,Yes,Yes
87_2011,0.40375,0.40375,50,47.98375,2.0175,0,61.29,19.75625,18.9525,0,0,2.01625,2011,-118.4914,33.46302,33.4,17.49,16,50.875223,Island,0,131394.751,87,16.932,16.83,17.52,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,No,No,Test,Test,Yes,No
87_2012,3.2275,0,66.5325,30.24375,2.0175,0.40375,43.145,5.645,50.8075,1.21,0,3.2275,2012,-118.4914,33.46302,33.4,17.49,16,50.875223,Island,0,131394.751,87,17.538,16.932,16.83,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,Yes,No,No,Cal,Test,No,No
88_2012,12.365,10.21666667,23.65666667,19.89166667,44.08833333,5.913333333,21.505,8.601666667,63.97833333,12.36666667,0,2.688333333,2012,-118.38917,33.41788,18.8,17.57,11,38.201658,Island,0,541581.6392,88,17.706,17.244,16.71,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,Yes,No,No,Cal,Test,No,No
89_2011,2.42125,0,37.0975,56.85375,6.04875,22.58,24.19375,3.62875,49.5975,0,0,0,2011,-118.47017,33.4425,25,17.57,17,39.42642,Island,0,112954.4081,89,17.04,17.016,17.688,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,No,No,Cal,Test,No,No
9_2004,4.458333333,13.85416667,65.97166667,14.30416667,4.3075,8.503333333,12.92833333,17.49916667,61.0675,15.41666667,0,1.270833333,2004,-119.43079,34.01693,27.4,15.66,7,9.042704,Island,0,1733642.751,9,16.458,15.396,15.42,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,No,No,Test,Test,No,No
9_2008,8.3625,3.61,65.27833333,23.33333333,6.11,0.2775,31.38916667,9.445,58.89,5.2775,0,2.5,2008,-119.43079,34.01693,27.4,15.66,7,9.042704,Island,0,1733642.751,9,15.582,15.498,16.128,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
9_2011,15.83333333,7.2225,61.94416667,21.38833333,9.445,6.945,20.00083333,26.11,46.94416667,7.2225,0,1.110833333,2011,-119.43079,34.01693,27.4,15.66,7,9.042704,Island,0,1733642.751,9,15.24,15.012,15.696,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
9_2012,16.6675,9.721666667,58.33333333,19.44416667,12.22166667,1.945,27.7775,21.3875,48.89,10,0,2.500833333,2012,-119.43079,34.01693,27.4,15.66,7,9.042704,Island,0,1733642.751,9,15.918,15.24,15.012,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
90_2012,1.613333333,12.90166667,77.42,9.676666667,0,24.195,23.655,0,52.15,12.90166667,0,2.151666667,2012,-118.54826,33.00208,16.7,17.22,5,11.334453,Island,0,2024145.939,90,17.526,16.842,16.254,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,Yes,Test,Val,No,Yes
91_2012,3.765,7.526666667,88.17333333,4.838333333,5.376666667,23.65666667,21.50333333,8.065,46.77666667,1.613333333,0,2.151666667,2012,-118.61528,33.03732,25,16.68,4,6.354096,Island,0,3478249.668,91,16.938,16.44,15.858,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,Yes,Test,Cal,No,No
92_2004,0.555,6.944166667,61.70583333,10.08,8.510833333,20.55583333,23.61083333,14.72083333,41.11166667,19.7025,0,2.5,2004,-118.42918,32.80065,27.6,17.09,4,4.642656,Island,0,4787892.855,92,17.61,17.088,17.05625,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,No,No,Test,Test,No,No
92_2008,5.913333333,0,96.23666667,3.763333333,0,15.055,19.89333333,28.49333333,36.55833333,0,0,0,2008,-118.42918,32.80065,27.6,17.09,4,4.642656,Island,0,4787892.855,92,17.046,17.094,17.31,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
92_2012,0,8.47,90.72625,2.82375,2.42,0.8075,26.20875,34.275,38.70875,4.0325,0,1.61375,2012,-118.42918,32.80065,27.6,17.09,4,4.642656,Island,0,4787892.855,92,17.112,16.704,16.338,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
93_2012,6.8575,3.22625,78.225,16.13,3.2275,4.43625,21.77375,5.24125,68.54875,2.42125,0,0,2012,-118.5391,32.90469,27.4,16.74,3,2.041898,Island,0,2928732.57,93,16.74,16.356,15.696,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,Yes,No,Test,Test,No,No
